date,name,ticker,amount,type
03/31/2014,John Hoeven,ABBV,"$50,001 - $100,000",Purchase
04/11/2014,Sheldon Whitehouse,V,"$1,001 - $15,000",Purchase
03/20/2014,Sheldon Whitehouse,C,"$1,001 - $15,000",Purchase
03/20/2014,Sheldon Whitehouse,SLB,"$1,001 - $15,000",Purchase
04/22/2014,Susan M Collins,BAC,"$1,001 - $15,000",Sale (Partial)
04/22/2014,Susan M Collins,COP,"$1,001 - $15,000",Purchase
04/23/2014,Susan M Collins,GS,"$1,001 - $15,000",Sale (Partial)
04/23/2014,Susan M Collins,AXP,"$1,001 - $15,000",Purchase
04/21/2014,Susan M Collins,SCHW,"$1,001 - $15,000",Purchase
04/17/2014,Susan M Collins,COP,"$1,001 - $15,000",Purchase
04/10/2014,Susan M Collins,FOXA,"$1,001 - $15,000",Sale (Partial)
04/10/2014,Susan M Collins,LOW,"$1,001 - $15,000",Sale (Partial)
04/10/2014,Susan M Collins,LBTYK,"$1,001 - $15,000",Sale (Partial)
04/10/2014,Susan M Collins,LBTYA,"$1,001 - $15,000",Sale (Partial)
04/10/2014,Susan M Collins,GOOG,"$1,001 - $15,000",Sale (Partial)
04/10/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
04/14/2014,Susan M Collins,GILD,"$1,001 - $15,000",Sale (Partial)
04/15/2014,Susan M Collins,AJG,"$1,001 - $15,000",Purchase
04/11/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
04/02/2014,Thomas R Carper,ATML,"$1,001 - $15,000",Purchase
04/03/2014,Thomas R Carper,BHI,"$15,001 - $50,000",Sale (Full)
04/22/2014,John F Reed,KO,"$1,001 - $15,000",Sale (Full)
05/01/2013,John Hoeven,KMP,"$15,001 - $50,000",Exchange
04/29/2013,John Hoeven,CG,"$100,001 - $250,000",Purchase
04/28/2014,John Hoeven,BA,"$100,001 - $250,000",Purchase
04/28/2014,John Hoeven,ABBV,"$50,001 - $100,000",Purchase
04/28/2014,John Hoeven,BUD,"$50,001 - $100,000",Purchase
04/28/2014,John Hoeven,F,"$50,001 - $100,000",Purchase
04/08/2014,Cory A Booker,AMT,"$15,001 - $50,000",Sale (Full)
04/08/2014,Cory A Booker,NFLX,"$15,001 - $50,000",Sale (Full)
04/28/2014,"Angus S King, Jr.",SRE,"$1,001 - $15,000",Sale (Partial)
04/28/2014,"Angus S King, Jr.",XRAY,"$1,001 - $15,000",Sale (Full)
04/28/2014,"Angus S King, Jr.",UNH,"$1,001 - $15,000",Purchase
04/29/2014,Sheldon Whitehouse,CMRE,"$1,001 - $15,000",Purchase
04/29/2014,Sheldon Whitehouse,PEP,"$1,001 - $15,000",Sale (Full)
04/29/2014,Sheldon Whitehouse,GOOGL,"$1,001 - $15,000",Purchase
04/29/2014,Sheldon Whitehouse,CVS,"$1,001 - $15,000",Purchase
04/29/2014,Sheldon Whitehouse,GIS,"$15,001 - $50,000",Sale (Partial)
04/17/2014,Sheldon Whitehouse,CVS,"$1,001 - $15,000",Sale (Partial)
04/17/2014,Sheldon Whitehouse,STT,"$1,001 - $15,000",Sale (Partial)
04/17/2014,Sheldon Whitehouse,ESRX,"$1,001 - $15,000",Purchase
04/17/2014,Sheldon Whitehouse,DIS,"$15,001 - $50,000",Sale (Partial)
04/29/2014,Sheldon Whitehouse,EBAY,"$15,001 - $50,000",Sale (Full)
04/29/2014,Sheldon Whitehouse,JPM,"$1,001 - $15,000",Purchase
04/29/2014,Sheldon Whitehouse,KORS,"$1,001 - $15,000",Purchase
04/29/2014,Sheldon Whitehouse,ESRX,"$1,001 - $15,000",Purchase
04/29/2014,Sheldon Whitehouse,UTX,"$15,001 - $50,000",Purchase
05/09/2014,Sheldon Whitehouse,VDC,"$1,001 - $15,000",Purchase
05/09/2014,Sheldon Whitehouse,ETN,"$1,001 - $15,000",Purchase
05/09/2014,Sheldon Whitehouse,HMC,"$1,001 - $15,000",Sale (Full)
05/09/2014,Sheldon Whitehouse,XLNX,"$15,001 - $50,000",Sale (Full)
05/07/2014,Susan M Collins,YHOO,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,WFC,"$15,001 - $50,000",Purchase
05/07/2014,Susan M Collins,WM,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,VVC,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,VR,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,VRX,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,VFC,"$1,001 - $15,000",Purchase
05/07/2014,Susan M Collins,UTX,"$1,001 - $15,000",Purchase
05/07/2014,Susan M Collins,UNP,"$15,001 - $50,000",Purchase
05/07/2014,Susan M Collins,UL,"$1,001 - $15,000",Purchase
05/07/2014,Susan M Collins,UMPQ,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,TUP,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,TEL,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,TGT,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,TAL,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,HOT,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,SBUX,"$1,001 - $15,000",Purchase
05/07/2014,Susan M Collins,SE,"$15,001 - $50,000",Purchase
05/07/2014,Susan M Collins,RPM,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,RHHBY,"$15,001 - $50,000",Purchase
05/07/2014,Susan M Collins,QCOM,"$15,001 - $50,000",Purchase
05/07/2014,Susan M Collins,PEP,"$15,001 - $50,000",Purchase
05/07/2014,Susan M Collins,PWE,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,PACW,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,ORCL,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,OHI,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,NEE,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,NWL,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,MGRC,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,MXIM,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,M,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,MTSC,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,LDR,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,JCOM,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,IP,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,IEX,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,HMC,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,HTS,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,HAS,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,HNI,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,GM,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,FLY,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,FMER,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,FFBC,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,FB,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,ESRX,"$1,001 - $15,000",Purchase
05/07/2014,Susan M Collins,DIS,"$1,001 - $15,000",Purchase
05/07/2014,Susan M Collins,DLR,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CYS,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CY,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CNSL,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CPSI,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CTBI,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CLNY,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CHCO,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,CBT,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,BAC,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,BGS,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,ALV,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,ARCC,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,AMT,"$1,001 - $15,000",Purchase
05/07/2014,Susan M Collins,AMZN,"$1,001 - $15,000",Sale (Full)
05/07/2014,Susan M Collins,ADC,"$1,001 - $15,000",Sale (Full)
05/30/2014,Thomas R Carper,OKE,"$1,001 - $15,000",Sale (Full)
05/22/2014,John F Reed,ACT,"$1,001 - $15,000",Purchase
