,date,name,ticker,amount,type
56,09/12/2025,John Boozman,ORCL,"$1,001 - $15,000",Sale (Partial)
57,09/17/2025,John Boozman,MU,"$1,001 - $15,000",Sale (Partial)
58,09/16/2025,John Boozman,JMBS,"$1,001 - $15,000",Sale (Partial)
59,09/16/2025,John Boozman,CMBS,"$1,001 - $15,000",Sale (Partial)
60,09/16/2025,John Boozman,TLT,"$15,001 - $50,000",Sale (Partial)
61,09/16/2025,John Boozman,MBB,"$1,001 - $15,000",Sale (Partial)
62,09/16/2025,John Boozman,AGZ,"$1,001 - $15,000",Sale (Partial)
63,09/16/2025,John Boozman,GBIL,"$1,001 - $15,000",Sale (Partial)
64,09/16/2025,John Boozman,GIGB,"$1,001 - $15,000",Sale (Partial)
65,09/16/2025,John Boozman,SCHP,"$1,001 - $15,000",Purchase
66,09/16/2025,John Boozman,IEF,"$15,001 - $50,000",Purchase
67,09/16/2025,John Boozman,SHY,"$1,001 - $15,000",Purchase
68,09/16/2025,John Boozman,IEI,"$15,001 - $50,000",Purchase
69,09/12/2025,John Boozman,ETN,"$1,001 - $15,000",Purchase
70,09/17/2025,John Boozman,GOOGL,"$15,001 - $50,000",Purchase
71,09/04/2025,John Boozman,ADBE,"$1,001 - $15,000",Purchase
72,09/02/2025,John W Hickenlooper,INTU,"$100,001 - $250,000",Purchase
73,09/02/2025,John W Hickenlooper,PEP,"$100,001 - $250,000",Sale (Full)
74,09/02/2025,John W Hickenlooper,PANW,"$100,001 - $250,000",Purchase
75,09/18/2025,Shelley M Capito,MSFT,"$15,001 - $50,000",Sale (Partial)
76,09/18/2025,Shelley M Capito,AAPL,"$15,001 - $50,000",Sale (Partial)
77,09/04/2025,Sheldon Whitehouse,UNH,"$15,001 - $50,000",Sale (Full)
78,09/04/2025,Sheldon Whitehouse,VZ,"$1,001 - $15,000",Sale (Full)
79,09/04/2025,Sheldon Whitehouse,NVDA,"$15,001 - $50,000",Sale (Partial)
80,09/04/2025,Sheldon Whitehouse,HON,"$15,001 - $50,000",Sale (Full)
81,09/04/2025,Sheldon Whitehouse,AMGN,"$1,001 - $15,000",Sale (Full)
82,09/04/2025,Sheldon Whitehouse,AAPL,"$15,001 - $50,000",Sale (Partial)
83,09/04/2025,Sheldon Whitehouse,MSFT,"$15,001 - $50,000",Sale (Partial)
84,09/23/2025,Markwayne Mullin,WAB,"$15,001 - $50,000",Sale (Full)
85,09/23/2025,Markwayne Mullin,WAB,"$1,001 - $15,000",Sale (Full)
86,09/23/2025,Markwayne Mullin,WAB,"$15,001 - $50,000",Sale (Full)
87,09/24/2025,Markwayne Mullin,ADBE,"$15,001 - $50,000",Sale (Full)
88,09/24/2025,Markwayne Mullin,UNH,"$15,001 - $50,000",Purchase
89,09/24/2025,Markwayne Mullin,NOW,"$1,001 - $15,000",Purchase
90,09/24/2025,Markwayne Mullin,INTU,"$15,001 - $50,000",Purchase
91,09/24/2025,Markwayne Mullin,ACN,"$15,001 - $50,000",Sale (Full)
92,09/24/2025,Markwayne Mullin,ISRG,"$50,001 - $100,000",Purchase
93,09/24/2025,Markwayne Mullin,TXN,"$15,001 - $50,000",Sale (Full)
94,09/24/2025,Markwayne Mullin,IHF,"$15,001 - $50,000",Sale (Full)
95,09/22/2025,Adam B Schiff,AAPL,"$15,001 - $50,000",Sale (Partial)
96,08/01/2025,John Boozman,VEA,"$1,001 - $15,000",Sale (Partial)
97,08/14/2025,John Boozman,EMRZX,"$15,001 - $50,000",Sale (Full)
98,08/07/2025,John Boozman,EMRZX,"$15,001 - $50,000",Sale (Partial)
99,08/01/2025,John Boozman,EMRZX,"$1,001 - $15,000",Sale (Partial)
100,08/01/2025,John Boozman,URNM,"$1,001 - $15,000",Sale (Partial)
101,08/22/2025,John Boozman,MU,"$1,001 - $15,000",Sale (Partial)
102,08/01/2025,John Boozman,IVV,"$1,001 - $15,000",Sale (Partial)
103,08/01/2025,John Boozman,EFA,"$1,001 - $15,000",Sale (Partial)
104,08/01/2025,John Boozman,SLV,"$1,001 - $15,000",Sale (Partial)
105,08/01/2025,John Boozman,TBLL,"$15,001 - $50,000",Sale (Partial)
106,08/01/2025,John Boozman,GIGB,"$1,001 - $15,000",Sale (Partial)
107,08/01/2025,John Boozman,GEM,"$1,001 - $15,000",Sale (Partial)
108,08/01/2025,John Boozman,EMLP,"$1,001 - $15,000",Sale (Partial)
109,08/01/2025,John Boozman,PPLT,"$1,001 - $15,000",Sale (Partial)
110,08/01/2025,John Boozman,PALL,"$1,001 - $15,000",Sale (Partial)
111,08/22/2025,John Boozman,ABBV,"$1,001 - $15,000",Sale (Partial)
112,08/11/2025,John Boozman,ABBV,"$1,001 - $15,000",Sale (Partial)
113,08/01/2025,John Boozman,VNQI,"$1,001 - $15,000",Purchase
114,08/01/2025,John Boozman,SCHP,"$1,001 - $15,000",Purchase
115,08/22/2025,John Boozman,NVDA,"$1,001 - $15,000",Purchase
116,08/14/2025,John Boozman,RNWGX,"$15,001 - $50,000",Purchase
117,08/07/2025,John Boozman,RNWGX,"$15,001 - $50,000",Purchase
118,08/01/2025,John Boozman,RNWGX,"$1,001 - $15,000",Purchase
119,08/22/2025,John Boozman,LLY,"$1,001 - $15,000",Purchase
120,08/11/2025,John Boozman,LLY,"$1,001 - $15,000",Purchase
121,08/01/2025,John Boozman,JMBS,"$1,001 - $15,000",Purchase
122,08/01/2025,John Boozman,IWM,"$1,001 - $15,000",Purchase
123,08/01/2025,John Boozman,IEF,"$1,001 - $15,000",Purchase
124,08/01/2025,John Boozman,SHY,"$1,001 - $15,000",Purchase
