,date,name,ticker,amount,type
4380,02/26/2019,"David A Perdue , Jr",BWXT,"$15,001 - $50,000",Sale (Partial)
4381,02/25/2019,"David A Perdue , Jr",UHAL,"$1,001 - $15,000",Sale (Partial)
4382,02/25/2019,"David A Perdue , Jr",PEP,"$15,001 - $50,000",Sale (Partial)
4383,02/25/2019,"David A Perdue , Jr",AVP,"$1,001 - $15,000",Sale (Partial)
4384,02/25/2019,"David A Perdue , Jr",STT,"$1,001 - $15,000",Sale (Partial)
4385,02/25/2019,"David A Perdue , Jr",PG,"$15,001 - $50,000",Sale (Partial)
4386,02/25/2019,"David A Perdue , Jr",FOX,"$1,001 - $15,000",Sale (Partial)
4387,02/25/2019,"David A Perdue , Jr",KO,"$1,001 - $15,000",Purchase
4388,02/25/2019,"David A Perdue , Jr",UN,"$1,001 - $15,000",Purchase
4389,02/25/2019,"David A Perdue , Jr",CSCO,"$15,001 - $50,000",Sale (Partial)
4390,02/25/2019,"David A Perdue , Jr",SYY,"$1,001 - $15,000",Sale (Partial)
4391,02/25/2019,"David A Perdue , Jr",FOXA,"$1,001 - $15,000",Sale (Partial)
4392,02/25/2019,"David A Perdue , Jr",ORCL,"$1,001 - $15,000",Sale (Partial)
4393,02/25/2019,"David A Perdue , Jr",MSFT,"$15,001 - $50,000",Sale (Partial)
4394,02/25/2019,"David A Perdue , Jr",COP,"$1,001 - $15,000",Sale (Partial)
4395,02/25/2019,"David A Perdue , Jr",ANTM,"$1,001 - $15,000",Sale (Partial)
4396,02/25/2019,"David A Perdue , Jr",ACA,"$1,001 - $15,000",Sale (Partial)
4397,02/25/2019,"David A Perdue , Jr",INFY,"$1,001 - $15,000",Sale (Partial)
4398,02/25/2019,"David A Perdue , Jr",MU,"$1,001 - $15,000",Sale (Partial)
4399,02/25/2019,"David A Perdue , Jr",CLX,"$1,001 - $15,000",Sale (Partial)
4400,02/25/2019,"David A Perdue , Jr",BRK-B,"$1,001 - $15,000",Sale (Partial)
4401,02/25/2019,"David A Perdue , Jr",WFC,"$1,001 - $15,000",Purchase
4402,02/19/2019,"David A Perdue , Jr",TRGP,"$15,001 - $50,000",Sale (Partial)
4403,02/19/2019,"David A Perdue , Jr",GLW,"$1,001 - $15,000",Sale (Partial)
4404,02/19/2019,"David A Perdue , Jr",MRK,"$15,001 - $50,000",Sale (Partial)
4405,02/19/2019,"David A Perdue , Jr",MOS,"$15,001 - $50,000",Sale (Partial)
4406,02/19/2019,"David A Perdue , Jr",HBI,"$15,001 - $50,000",Sale (Partial)
4407,02/19/2019,"David A Perdue , Jr",ENTG,"$1,001 - $15,000",Sale (Partial)
4408,02/19/2019,"David A Perdue , Jr",GM,"$15,001 - $50,000",Sale (Partial)
4409,02/12/2019,"David A Perdue , Jr",PG,"$15,001 - $50,000",Sale (Partial)
4410,02/11/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4411,02/08/2019,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
4412,02/08/2019,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
4413,02/08/2019,"David A Perdue , Jr",LGF-B,"$1,001 - $15,000",Purchase
4414,02/07/2019,"David A Perdue , Jr",OKE,"$1,001 - $15,000",Sale (Partial)
4415,02/07/2019,"David A Perdue , Jr",PAGP,"$1,001 - $15,000",Purchase
4416,02/07/2019,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
4417,02/07/2019,"David A Perdue , Jr",FEYE,"$1,001 - $15,000",Purchase
4418,02/07/2019,"David A Perdue , Jr",FEYE,"$1,001 - $15,000",Purchase
4419,02/07/2019,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
4420,02/07/2019,"David A Perdue , Jr",PAGP,"$1,001 - $15,000",Purchase
4421,02/07/2019,"David A Perdue , Jr",AM,"$1,001 - $15,000",Sale (Partial)
4422,02/06/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4423,02/06/2019,"David A Perdue , Jr",T,"$1,001 - $15,000",Purchase
4424,02/05/2019,"David A Perdue , Jr",T,"$15,001 - $50,000",Purchase
4425,02/05/2019,"David A Perdue , Jr",FDC,"$15,001 - $50,000",Sale (Partial)
4426,02/05/2019,"David A Perdue , Jr",T,"$1,001 - $15,000",Purchase
4427,02/05/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4428,02/05/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4429,02/04/2019,"David A Perdue , Jr",MPLX,"$1,001 - $15,000",Purchase
4430,02/01/2019,"David A Perdue , Jr",FDC,"$15,001 - $50,000",Sale (Partial)
4431,02/01/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
