,date,name,ticker,amount,type
111,03/28/2014,John F Reed,ALTR,"$1,001 - $15,000",Purchase
112,03/28/2014,John F Reed,ZMH,"$1,001 - $15,000",Purchase
113,03/28/2014,John F Reed,MSFT,"$1,001 - $15,000",Purchase
114,03/28/2014,John F Reed,AAPL,"$1,001 - $15,000",Purchase
115,04/08/2014,Susan M Collins,CAT,"$1,001 - $15,000",Sale (Partial)
116,04/09/2014,Susan M Collins,AMZN,"$1,001 - $15,000",Sale (Partial)
117,04/09/2014,Susan M Collins,FB,"$1,001 - $15,000",Sale (Partial)
118,04/07/2014,Susan M Collins,M,"$1,001 - $15,000",Purchase
119,04/07/2014,Susan M Collins,HON,"$1,001 - $15,000",Purchase
120,03/31/2014,John Hoeven,BUD,"$50,001 - $100,000",Purchase
121,03/31/2014,John Hoeven,ABBV,"$50,001 - $100,000",Purchase
122,04/11/2014,Sheldon Whitehouse,V,"$1,001 - $15,000",Purchase
123,03/20/2014,Sheldon Whitehouse,C,"$1,001 - $15,000",Purchase
124,03/20/2014,Sheldon Whitehouse,SLB,"$1,001 - $15,000",Purchase
125,04/22/2014,Susan M Collins,BAC,"$1,001 - $15,000",Sale (Partial)
126,04/22/2014,Susan M Collins,COP,"$1,001 - $15,000",Purchase
127,04/23/2014,Susan M Collins,GS,"$1,001 - $15,000",Sale (Partial)
128,04/23/2014,Susan M Collins,AXP,"$1,001 - $15,000",Purchase
129,04/21/2014,Susan M Collins,SCHW,"$1,001 - $15,000",Purchase
130,04/17/2014,Susan M Collins,COP,"$1,001 - $15,000",Purchase
131,04/10/2014,Susan M Collins,FOXA,"$1,001 - $15,000",Sale (Partial)
132,04/10/2014,Susan M Collins,LOW,"$1,001 - $15,000",Sale (Partial)
133,04/10/2014,Susan M Collins,LBTYK,"$1,001 - $15,000",Sale (Partial)
134,04/10/2014,Susan M Collins,LBTYA,"$1,001 - $15,000",Sale (Partial)
135,04/10/2014,Susan M Collins,GOOG,"$1,001 - $15,000",Sale (Partial)
136,04/10/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
137,04/14/2014,Susan M Collins,GILD,"$1,001 - $15,000",Sale (Partial)
138,04/15/2014,Susan M Collins,AJG,"$1,001 - $15,000",Purchase
139,04/11/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
140,04/02/2014,Thomas R Carper,ATML,"$1,001 - $15,000",Purchase
141,04/03/2014,Thomas R Carper,BHI,"$15,001 - $50,000",Sale (Full)
142,04/22/2014,John F Reed,KO,"$1,001 - $15,000",Sale (Full)
143,05/01/2013,John Hoeven,KMP,"$15,001 - $50,000",Exchange
144,04/29/2013,John Hoeven,CG,"$100,001 - $250,000",Purchase
145,04/28/2014,John Hoeven,BA,"$100,001 - $250,000",Purchase
146,04/28/2014,John Hoeven,ABBV,"$50,001 - $100,000",Purchase
147,04/28/2014,John Hoeven,BUD,"$50,001 - $100,000",Purchase
148,04/28/2014,John Hoeven,F,"$50,001 - $100,000",Purchase
149,04/08/2014,Cory A Booker,AMT,"$15,001 - $50,000",Sale (Full)
150,04/08/2014,Cory A Booker,NFLX,"$15,001 - $50,000",Sale (Full)
151,04/28/2014,"Angus S King, Jr.",SRE,"$1,001 - $15,000",Sale (Partial)
152,04/28/2014,"Angus S King, Jr.",XRAY,"$1,001 - $15,000",Sale (Full)
153,04/28/2014,"Angus S King, Jr.",UNH,"$1,001 - $15,000",Purchase
154,04/29/2014,Sheldon Whitehouse,CMRE,"$1,001 - $15,000",Purchase
155,04/29/2014,Sheldon Whitehouse,PEP,"$1,001 - $15,000",Sale (Full)
156,04/29/2014,Sheldon Whitehouse,GOOGL,"$1,001 - $15,000",Purchase
157,04/29/2014,Sheldon Whitehouse,CVS,"$1,001 - $15,000",Purchase
158,04/29/2014,Sheldon Whitehouse,GIS,"$15,001 - $50,000",Sale (Partial)
159,04/17/2014,Sheldon Whitehouse,CVS,"$1,001 - $15,000",Sale (Partial)
160,04/17/2014,Sheldon Whitehouse,STT,"$1,001 - $15,000",Sale (Partial)
161,04/17/2014,Sheldon Whitehouse,ESRX,"$1,001 - $15,000",Purchase
162,04/17/2014,Sheldon Whitehouse,DIS,"$15,001 - $50,000",Sale (Partial)
163,04/29/2014,Sheldon Whitehouse,EBAY,"$15,001 - $50,000",Sale (Full)
164,04/29/2014,Sheldon Whitehouse,JPM,"$1,001 - $15,000",Purchase
165,04/29/2014,Sheldon Whitehouse,KORS,"$1,001 - $15,000",Purchase
166,04/29/2014,Sheldon Whitehouse,ESRX,"$1,001 - $15,000",Purchase
167,04/29/2014,Sheldon Whitehouse,UTX,"$15,001 - $50,000",Purchase
168,05/09/2014,Sheldon Whitehouse,VDC,"$1,001 - $15,000",Purchase
169,05/09/2014,Sheldon Whitehouse,ETN,"$1,001 - $15,000",Purchase
170,05/09/2014,Sheldon Whitehouse,HMC,"$1,001 - $15,000",Sale (Full)
171,05/09/2014,Sheldon Whitehouse,XLNX,"$15,001 - $50,000",Sale (Full)
172,05/07/2014,Susan M Collins,YHOO,"$1,001 - $15,000",Sale (Full)
173,05/07/2014,Susan M Collins,WFC,"$15,001 - $50,000",Purchase
174,05/07/2014,Susan M Collins,WM,"$1,001 - $15,000",Sale (Full)
175,05/07/2014,Susan M Collins,VVC,"$1,001 - $15,000",Sale (Full)
176,05/07/2014,Susan M Collins,VR,"$1,001 - $15,000",Sale (Full)
177,05/07/2014,Susan M Collins,VRX,"$1,001 - $15,000",Sale (Full)
178,05/07/2014,Susan M Collins,VFC,"$1,001 - $15,000",Purchase
179,05/07/2014,Susan M Collins,UTX,"$1,001 - $15,000",Purchase
180,05/07/2014,Susan M Collins,UNP,"$15,001 - $50,000",Purchase
181,05/07/2014,Susan M Collins,UL,"$1,001 - $15,000",Purchase
182,05/07/2014,Susan M Collins,UMPQ,"$1,001 - $15,000",Sale (Full)
183,05/07/2014,Susan M Collins,TUP,"$1,001 - $15,000",Sale (Full)
184,05/07/2014,Susan M Collins,TEL,"$1,001 - $15,000",Sale (Full)
185,05/07/2014,Susan M Collins,TGT,"$1,001 - $15,000",Sale (Full)
186,05/07/2014,Susan M Collins,TAL,"$1,001 - $15,000",Sale (Full)
187,05/07/2014,Susan M Collins,HOT,"$1,001 - $15,000",Sale (Full)
188,05/07/2014,Susan M Collins,SBUX,"$1,001 - $15,000",Purchase
