base_amount,PE Ratio,ROE,Profit Margin,TTM Revenue,price_at_trade
1001,24.731953,0.22097999,0.08613,4664003072.0,256.58526611328125
15001,30.159409,0.091309994,0.08091,21739999232.0,196.24078369140625
50001,34.41278,0.2132,0.05494,15163188224.0,371.0838623046875
50001,21.944078,0.25509,0.11021,69672976384.0,385.6790161132813
15001,30.89546,0.19374001,0.08067001,15904000000.0,196.0500030517578
15001,33.898678,0.58396,0.086789995,58979000320.0,124.68492889404295
50001,34.842815,0.32241002,0.35707,293812011008.0,407.5337219238281
15001,32.099022,0.24327,0.11063,691330023424.0,230.3699951171875
15001,21.28104,,0.21574,39992000512.0,145.40338134765625
50001,31.959158,0.17198999,0.22845,37377998848.0,108.91717529296876
100001,30.838337,0.35508,0.24669,28367998976.0,193.5723114013672
50001,54.48451,0.30064,0.18181999,7975000064.0,126.37400817871094
50001,48.637432,0.9647,0.30986,59419799552.0,748.3977661132812
1001,34.602276,0.12184,0.17913,40317001728.0,321.9603881835937
1001,45.764263,1.07359,0.53007,187141996544.0,131.7239532470703
1001,24.609207,0.64186996,0.04839,29778999296.0,99.51478576660156
1001,34.377075,1.8486099,0.45275003,31473999872.0,506.8580322265625
1001,,,,,102.00750732421876
1001,,,,,101.86732482910156
15001,30.798052,0.11147001,0.10941,10785000448.0,188.01866149902344
15001,,-0.03303,-0.012999999,6507100160.0,30.466100692749023
15001,53.10024,0.11773,0.02406,13762472960.0,139.99000549316406
15001,9.591264,0.23041001,0.12761,2475117056.0,106.33999633789062
15001,155.80556,,0.02398,6639848960.0,102.1526336669922
15001,17.526209,0.13532,0.29073998,57336999936.0,563.4705810546875
15001,18.430065,,0.05005,104090001408.0,114.4482650756836
15001,152.23708,0.22868,0.26627,796128000.0,70.93000030517578
15001,257.22537,0.02718,0.041339997,6043358208.0,100.58999633789062
15001,24.735804,0.22097999,0.08613,4664003072.0,236.87925720214844
15001,30.798052,0.11147001,0.10941,10785000448.0,188.01866149902344
15001,,-0.03303,-0.012999999,6507100160.0,30.466100692749023
15001,53.10024,0.11773,0.02406,13762472960.0,139.99000549316406
15001,9.591264,0.23041001,0.12761,2475117056.0,106.33999633789062
15001,155.80556,,0.02398,6639848960.0,102.1526336669922
15001,17.526209,0.13532,0.29073998,57336999936.0,563.4705810546875
15001,18.419607,,0.05005,104090001408.0,114.4482650756836
15001,152.23708,0.22868,0.26627,796128000.0,70.93000030517578
15001,257.42255,0.02718,0.041339997,6043358208.0,100.58999633789062
15001,24.735804,0.22097999,0.08613,4664003072.0,236.87925720214844
1001,38.298527,0.42131,0.18344,43949998080.0,169.30970764160156
1001,102.23333,0.27083,0.31592,59925999616.0,178.90533447265625
1001,32.209988,,,,87.04375457763672
250001,,,,,6.272311687469482
100001,21.156702,,,,11.899999618530272
50001,,,,,12.289999961853027
50001,15.866446,,,,52.30965805053711
15001,30.84411,0.35508,0.24669,28367998976.0,169.43394470214844
