date,name,ticker,amount,type
2025-07-31,Shelley M Capito,CL,"$1,001 - $15,000",Sale (Full)
2025-07-31,Shelley M Capito,PPG,"$1,001 - $15,000",Sale (Full)
2025-07-31,Shelley M Capito,GD,"$1,001 - $15,000",Sale (Partial)
2025-07-30,Shelley M Capito,PPG,"$1,001 - $15,000",Sale (Partial)
2025-07-29,Shelley M Capito,META,"$1,001 - $15,000",Purchase
2025-07-29,Shelley M Capito,GOOGL,"$1,001 - $15,000",Purchase
2025-07-18,Shelley M Capito,AVGO,"$1,001 - $15,000",Sale (Partial)
2025-07-18,Shelley M Capito,JPM,"$1,001 - $15,000",Sale (Partial)
2025-07-18,Shelley M Capito,MSFT,"$1,001 - $15,000",Sale (Partial)
2025-07-18,Shelley M Capito,AAPL,"$1,001 - $15,000",Sale (Partial)
2025-07-18,Shelley M Capito,AFL,"$1,001 - $15,000",Sale (Partial)
2025-07-17,Shelley M Capito,CB,"$1,001 - $15,000",Sale (Partial)
2025-07-01,Shelley M Capito,AXP,"$15,001 - $50,000",Purchase
2025-06-30,Lindsey Graham,XONE,"$15,001 - $50,000",Purchase
2025-06-30,Lindsey Graham,BSCV,"$15,001 - $50,000",Purchase
2025-05-30,John Boozman,RTX,"$1,001 - $15,000",Purchase
2025-05-13,John Boozman,NVDA,"$1,001 - $15,000",Purchase
2025-05-30,John Boozman,META,"$1,001 - $15,000",Purchase
2025-05-16,John Boozman,META,"$1,001 - $15,000",Purchase
2025-05-20,John Boozman,HD,"$1,001 - $15,000",Purchase
2025-05-16,John Boozman,HD,"$1,001 - $15,000",Purchase
2025-05-13,John Boozman,AVGO,"$1,001 - $15,000",Purchase
2025-05-20,John Boozman,ATO,"$1,001 - $15,000",Purchase
2025-05-16,John Boozman,AMZN,"$1,001 - $15,000",Purchase
2025-05-20,John Boozman,GOOGL,"$1,001 - $15,000",Purchase
2025-06-11,John Boozman,UNH,"$1,001 - $15,000",Sale (Full)
2025-06-11,John Boozman,MU,"$1,001 - $15,000",Sale (Partial)
2025-06-11,John Boozman,TBLL,"$1,001 - $15,000",Purchase
2025-06-11,John Boozman,AVGO,"$1,001 - $15,000",Purchase
2025-06-12,John W Hickenlooper,CMG,"$100,001 - $250,000",Sale (Partial)
2025-06-26,"A. Mitchell McConnell, Jr.",LAZR,"$15,001 - $50,000",Sale (Partial)
2025-06-23,Shelley M Capito,UNH,"$1,001 - $15,000",Sale (Full)
2025-06-18,Shelley M Capito,ADI,"$1,001 - $15,000",Sale (Partial)
